Time,RobotMode,AutoToRun,LoopTime,BatteryVoltage,Gyro,LeftMotor,LeftEncoder,RightMotor,RightEncoder,PIDTarget,PIDCurrent,PIDINPosition,ElevatorMotorValue,ElevatorAmperage,TopOvertravel,ButtomOvertravel,PIDCurrentState,AutoStackState,GripperState,CompressorStatus,CompressorAmperage, ErrorStatus, ErrorCode, ErrorSource
08:33:41.315 PM 04/14/2015,Teleop Enabled,0.000000,20.000000,12.350000,359.779845,-0.000000,0.000000,0.000000,0.000000,441.750000,441.750000,TRUE,0.094000,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.593750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:41.415 PM 04/14/2015,Teleop Enabled,0.000000,21.000000,12.300000,359.780167,-0.000000,0.000000,0.000000,0.000000,441.750000,441.750000,TRUE,0.094000,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.562500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:41.515 PM 04/14/2015,Teleop Enabled,0.000000,19.000000,12.300000,359.784521,-0.000000,0.000000,0.000000,0.000000,441.750000,441.750000,TRUE,0.094000,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.562500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:41.615 PM 04/14/2015,Teleop Enabled,0.000000,19.000000,12.300000,359.759351,-0.000000,0.000000,0.000000,0.039270,441.750000,441.750000,TRUE,0.094000,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.562500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:41.715 PM 04/14/2015,Teleop Enabled,0.000000,19.000000,12.300000,359.797588,-0.000000,0.000000,0.000000,0.000000,441.750000,441.750000,TRUE,0.094000,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.562500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:41.815 PM 04/14/2015,Teleop Enabled,0.000000,20.000000,12.350000,359.806905,-0.000000,0.000000,0.000000,0.000000,441.750000,441.750000,TRUE,0.094000,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.562500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:41.915 PM 04/14/2015,Teleop Enabled,0.000000,20.000000,12.300000,359.799054,-0.000000,0.000000,0.000000,0.000000,441.750000,441.750000,TRUE,0.094000,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.593750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:42.015 PM 04/14/2015,Teleop Enabled,0.000000,20.000000,12.300000,359.744295,-0.000000,0.000000,0.000000,0.039270,441.750000,441.750000,TRUE,0.094000,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.593750,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:42.116 PM 04/14/2015,Teleop Enabled,0.000000,19.000000,12.350000,359.742265,-0.000000,0.000000,0.000000,0.039270,441.750000,441.750000,TRUE,0.094000,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.562500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:42.216 PM 04/14/2015,Teleop Enabled,0.000000,19.000000,12.350000,359.744855,-0.000000,0.000000,0.000000,0.000000,441.750000,441.750000,TRUE,0.094000,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.500000,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
08:33:42.316 PM 04/14/2015,Teleop Enabled,0.000000,19.000000,12.350000,359.717208,-0.000000,0.000000,0.000000,0.039270,441.750000,441.750000,TRUE,0.094000,0.000000,TRUE,TRUE,PIDControl,Disabled,TRUE,TRUE,9.562500,TRUE,-44018.000000,WPI_JoystickSetOutputs.vi
